"mandante","visitante","vencedor","mandante_Placar","visitante_Placar","vencedor_Estado"
"Fluminense","Flamengo","Flamengo","0","2","RJ"
"America-MG","Atletico-MG","Atletico-MG","1","3","MG"
"Athletico-PR","Sao Paulo","Sao Paulo","0","1","SP"
"Vasco","Sport","Vasco","3","2","RJ"
"Chapecoense","Cruzeiro","Chapecoense","2","0","SC"
"Corinthians","Vitoria","Empate","0","0",""
"Gremio","America-MG","Gremio","1","0","RS"
"Atletico-MG","Fluminense","Atletico-MG","5","2","MG"
"Bahia","Botafogo-RJ","Empate","3","3",""
"Ceara","Palmeiras","Empate","2","2",""
"Santos","Internacional","Internacional","1","2","RS"
"Flamengo","Parana","Flamengo","2","0","RJ"
"Sao Paulo","Vitoria","Sao Paulo","3","0","SP"
"America-MG","Chapecoense","Empate","0","0",""
"Fluminense","Santos","Santos","0","1","SP"
"Sport","Gremio","Empate","0","0",""
"Parana","Cruzeiro","Empate","1","1",""
"Palmeiras","Flamengo","Empate","1","1",""
"Botafogo-RJ","Athletico-PR","Botafogo-RJ","2","0","RJ"
"Bahia","Corinthians","Bahia","1","0","BA"
"Internacional","Vasco","Internacional","3","1","RS"
"Atletico-MG","Ceara","Atletico-MG","2","1","MG"
"Ceara","Sport","Ceara","1","0","CE"
"Vitoria","Parana","Vitoria","1","0","BA"
"Gremio","Atletico-MG","Gremio","2","0","RS"
"Corinthians","Botafogo-RJ","Corinthians","2","0","SP"
"Flamengo","Sao Paulo","Sao Paulo","0","1","SP"
"Chapecoense","Bahia","Empate","1","1",""
"Cruzeiro","America-MG","Cruzeiro","3","1","MG"
"Vasco","Fluminense","Empate","1","1",""
"Santos","Palmeiras","Empate","1","1",""
"Athletico-PR","Internacional","Empate","2","2",""
"Flamengo","Botafogo-RJ","Flamengo","2","0","RJ"
"Sao Paulo","Corinthians","Sao Paulo","3","1","SP"
"Bahia","Vitoria","Bahia","4","1","BA"
"Vasco","Gremio","Vasco","1","0","RJ"
"Sport","Fluminense","Fluminense","1","2","RJ"
"Palmeiras","Atletico-MG","Palmeiras","3","2","SP"
"Parana","America-MG","Parana","1","0","PR"
"Cruzeiro","Athletico-PR","Cruzeiro","2","1","MG"
"Chapecoense","Santos","Empate","0","0",""
"Internacional","Ceara","Internacional","1","0","RS"
"Fluminense","Palmeiras","Fluminense","1","0","RJ"
"Atletico-MG","Parana","Atletico-MG","2","0","MG"
"Corinthians","Cruzeiro","Corinthians","2","0","SP"
"Santos","Flamengo","Empate","1","1",""
"Botafogo-RJ","Chapecoense","Botafogo-RJ","1","0","RJ"
"Vitoria","Sport","Vitoria","1","0","BA"
"Gremio","Sao Paulo","Gremio","2","1","RS"
"America-MG","Internacional","America-MG","2","1","MG"
"Ceara","Fluminense","Ceara","1","0","CE"
"Palmeiras","Parana","Palmeiras","3","0","SP"
"Vasco","Corinthians","Corinthians","1","4","SP"
"Cruzeiro","Sao Paulo","Sao Paulo","0","2","SP"
"Flamengo","Sport","Flamengo","4","1","RJ"
"Athletico-PR","Vitoria","Athletico-PR","4","0","PR"
"Internacional","Botafogo-RJ","Internacional","3","0","RS"
"Santos","America-MG","America-MG","0","1","MG"
"Chapecoense","Gremio","Empate","1","1",""
"Bahia","Atletico-MG","Empate","2","2",""
"Botafogo-RJ","Santos","Empate","0","0",""
"Gremio","Flamengo","Gremio","2","0","RS"
"Corinthians","Athletico-PR","Empate","0","0",""
"Vitoria","Cruzeiro","Empate","1","1",""
"America-MG","Palmeiras","Empate","0","0",""
"Sao Paulo","Vasco","Sao Paulo","2","1","SP"
"Parana","Ceara","Ceara","0","1","CE"
"Fluminense","Bahia","Empate","1","1",""
"Sport","Chapecoense","Empate","1","1",""
"Atletico-MG","Internacional","Internacional","0","1","RS"
"Ceara","Santos","Empate","1","1",""
"Ceara","Athletico-PR","Empate","0","0",""
"Bahia","America-MG","Bahia","1","0","BA"
"Parana","Botafogo-RJ","Empate","1","1",""
"Atletico-MG","Santos","Atletico-MG","3","1","MG"
"Flamengo","Cruzeiro","Flamengo","1","0","RJ"
"Chapecoense","Corinthians","Chapecoense","2","1","SC"
"Sport","Sao Paulo","Sao Paulo","1","3","SP"
"Gremio","Vitoria","Gremio","4","0","RS"
"Palmeiras","Vasco","Palmeiras","1","0","SP"
"Fluminense","Internacional","Internacional","0","3","RS"
"Santos","Sport","Santos","3","0","SP"
"Corinthians","Gremio","Gremio","0","1","RS"
"Athletico-PR","Flamengo","Athletico-PR","3","0","PR"
"Internacional","Parana","Internacional","1","0","RS"
"Vitoria","Palmeiras","Palmeiras","0","3","SP"
"Cruzeiro","Bahia","Empate","1","1",""
"Botafogo-RJ","Atletico-MG","Atletico-MG","0","3","MG"
"America-MG","Fluminense","Empate","0","0",""
"Sao Paulo","Chapecoense","Sao Paulo","2","0","SP"
"Vasco","Ceara","Empate","1","1",""
"Bahia","Internacional","Internacional","0","1","RS"
"Parana","Sao Paulo","Empate","1","1",""
"Sport","America-MG","America-MG","0","2","MG"
"Palmeiras","Botafogo-RJ","Palmeiras","2","0","SP"
"Fluminense","Corinthians","Fluminense","1","0","RJ"
"Gremio","Cruzeiro","Empate","1","1",""
"Flamengo","Vitoria","Flamengo","1","0","RJ"
"Atletico-MG","Vasco","Empate","0","0",""
"Santos","Bahia","Santos","2","0","SP"
"Corinthians","Parana","Corinthians","1","0","SP"
"Athletico-PR","Gremio","Athletico-PR","2","1","PR"
"Botafogo-RJ","Sport","Botafogo-RJ","2","0","RJ"
"Cruzeiro","Fluminense","Cruzeiro","2","1","MG"
"Sao Paulo","Ceara","Sao Paulo","1","0","SP"
"America-MG","Flamengo","Empate","2","2",""
"Vitoria","Atletico-MG","Vitoria","1","0","BA"
"Internacional","Palmeiras","Empate","0","0",""
"Vasco","Chapecoense","Vasco","3","1","RJ"
"Athletico-PR","Vasco","Athletico-PR","1","0","PR"
"Ceara","Bahia","Bahia","0","2","BA"
"Gremio","Botafogo-RJ","Gremio","4","0","RS"
"Vitoria","America-MG","Vitoria","1","0","BA"
"Vasco","Santos","Santos","0","3","SP"
"Corinthians","Atletico-MG","Empate","1","1",""
"Flamengo","Ceara","Ceara","0","1","CE"
"Athletico-PR","Bahia","Athletico-PR","2","0","PR"
"Sport","Parana","Sport","1","0","PE"
"Sao Paulo","Fluminense","Empate","1","1",""
"Cruzeiro","Internacional","Empate","0","0",""
"Chapecoense","Palmeiras","Palmeiras","1","2","SP"
"Bahia","Sport","Bahia","2","0","BA"
"Botafogo-RJ","Cruzeiro","Empate","1","1",""
"Ceara","Corinthians","Ceara","2","1","CE"
"Palmeiras","Athletico-PR","Palmeiras","2","0","SP"
"Parana","Chapecoense","Empate","1","1",""
"Atletico-MG","Sao Paulo","Atletico-MG","1","0","MG"
"Internacional","Flamengo","Internacional","2","1","RS"
"Fluminense","Vitoria","Empate","0","0",""
"Santos","Gremio","Empate","0","0",""
"America-MG","Vasco","America-MG","2","1","MG"
"Sport","Cruzeiro","Empate","0","0",""
"Sao Paulo","Bahia","Sao Paulo","1","0","SP"
"Flamengo","Chapecoense","Flamengo","2","0","RJ"
"America-MG","Ceara","Empate","0","0",""
"Palmeiras","Corinthians","Palmeiras","1","0","SP"
"Fluminense","Botafogo-RJ","Fluminense","1","0","RJ"
"Internacional","Gremio","Internacional","1","0","RS"
"Parana","Santos","Santos","0","2","SP"
"Vitoria","Vasco","Vitoria","1","0","BA"
"Atletico-MG","Athletico-PR","Atletico-MG","3","1","MG"
"Chapecoense","Athletico-PR","Chapecoense","2","1","SC"
"Gremio","Parana","Gremio","2","0","RS"
"Ceara","Vitoria","Ceara","2","0","CE"
"Vasco","Flamengo","Empate","1","1",""
"Botafogo-RJ","America-MG","Botafogo-RJ","1","0","RJ"
"Cruzeiro","Atletico-MG","Empate","0","0",""
"Athletico-PR","Fluminense","Athletico-PR","3","1","PR"
"Bahia","Palmeiras","Empate","1","1",""
"Santos","Sao Paulo","Empate","0","0",""
"Corinthians","Sport","Corinthians","2","1","SP"
"Chapecoense","Internacional","Chapecoense","2","1","SC"
"Sao Paulo","America-MG","Empate","1","1",""
"Gremio","Ceara","Gremio","3","2","RS"
"Athletico-PR","Parana","Athletico-PR","3","0","PR"
"Flamengo","Atletico-MG","Flamengo","2","1","RJ"
"Corinthians","Internacional","Empate","1","1",""
"Sport","Palmeiras","Palmeiras","0","1","SP"
"Vitoria","Botafogo-RJ","Botafogo-RJ","3","4","RJ"
"Cruzeiro","Santos","Cruzeiro","2","1","MG"
"Chapecoense","Fluminense","Fluminense","1","2","RJ"
"Vasco","Bahia","Vasco","2","1","RJ"
"Santos","Vasco","Empate","1","1",""
"Fluminense","Gremio","Gremio","0","1","RS"
"America-MG","Corinthians","Empate","0","0",""
"Bahia","Flamengo","Empate","0","0",""
"Palmeiras","Cruzeiro","Palmeiras","3","1","SP"
"Atletico-MG","Sport","Atletico-MG","5","2","MG"
"Internacional","Vitoria","Internacional","2","1","RS"
"Santos","Athletico-PR","Santos","1","0","SP"
"Botafogo-RJ","Sao Paulo","Empate","2","2",""
"Ceara","Chapecoense","Ceara","3","1","CE"
"Parana","Vasco","Empate","1","1",""
"Sport","Internacional","Sport","2","1","PE"
"Corinthians","Flamengo","Flamengo","0","3","RJ"
"Vitoria","Santos","Santos","0","1","SP"
"Chapecoense","Atletico-MG","Chapecoense","1","0","SC"
"Athletico-PR","America-MG","Athletico-PR","4","0","PR"
"Sao Paulo","Palmeiras","Palmeiras","0","2","SP"
"Gremio","Bahia","Empate","2","2",""
"Fluminense","Parana","Fluminense","4","0","RJ"
"Botafogo-RJ","Vasco","Empate","1","1",""
"Flamengo","Fluminense","Flamengo","3","0","RJ"
"Santos","Corinthians","Santos","1","0","SP"
"Bahia","Parana","Bahia","2","0","BA"
"Chapecoense","Vitoria","Vitoria","0","1","BA"
"Vasco","Cruzeiro","Vasco","2","0","RJ"
"Internacional","Sao Paulo","Internacional","3","1","RS"
"Palmeiras","Gremio","Palmeiras","2","0","SP"
"Athletico-PR","Sport","Athletico-PR","4","0","PR"
"Atletico-MG","America-MG","Empate","0","0",""
"Ceara","Botafogo-RJ","Empate","0","0",""
"America-MG","Gremio","Empate","1","1",""
"Botafogo-RJ","Bahia","Bahia","0","1","BA"
"Sao Paulo","Athletico-PR","Empate","0","0",""
"Sport","Vasco","Sport","2","1","PE"
"Vitoria","Corinthians","Empate","2","2",""
"Fluminense","Atletico-MG","Fluminense","1","0","RJ"
"Palmeiras","Ceara","Palmeiras","2","1","SP"
"Cruzeiro","Chapecoense","Cruzeiro","3","0","MG"
"Parana","Flamengo","Flamengo","0","4","RJ"
"Internacional","Santos","Empate","2","2",""
"Cruzeiro","Ceara","Ceara","0","2","CE"
"Vitoria","Sao Paulo","Sao Paulo","0","1","SP"
"Vasco","Internacional","Empate","1","1",""
"Santos","Fluminense","Santos","3","0","SP"
"Gremio","Sport","Sport","3","4","PE"
"Chapecoense","America-MG","Chapecoense","1","0","SC"
"Flamengo","Palmeiras","Empate","1","1",""
"Corinthians","Bahia","Corinthians","2","1","SP"
"Athletico-PR","Botafogo-RJ","Athletico-PR","2","1","PR"
"Cruzeiro","Parana","Cruzeiro","3","1","MG"
"Ceara","Atletico-MG","Ceara","2","1","CE"
"Fluminense","Vasco","Vasco","0","1","RJ"
"Atletico-MG","Gremio","Gremio","0","1","RS"
"Palmeiras","Santos","Palmeiras","3","2","SP"
"Botafogo-RJ","Corinthians","Botafogo-RJ","1","0","RJ"
"America-MG","Cruzeiro","Cruzeiro","1","2","MG"
"Sao Paulo","Flamengo","Empate","2","2",""
"Parana","Vitoria","Empate","1","1",""
"Internacional","Athletico-PR","Internacional","2","1","RS"
"Bahia","Chapecoense","Bahia","1","0","BA"
"Sport","Ceara","Sport","1","0","PE"
"America-MG","Parana","Parana","0","1","PR"
"Corinthians","Sao Paulo","Empate","1","1",""
"Botafogo-RJ","Flamengo","Botafogo-RJ","2","1","RJ"
"Athletico-PR","Cruzeiro","Athletico-PR","2","0","PR"
"Vitoria","Bahia","Empate","2","2",""
"Atletico-MG","Palmeiras","Empate","1","1",""
"Gremio","Vasco","Gremio","2","1","RS"
"Ceara","Internacional","Empate","1","1",""
"Fluminense","Sport","Empate","0","0",""
"Santos","Chapecoense","Chapecoense","0","1","SC"
"Vasco","Athletico-PR","Empate","1","1",""
"Bahia","Ceara","Bahia","2","1","BA"
"Parana","Atletico-MG","Atletico-MG","0","1","MG"
"Sport","Vitoria","Empate","0","0",""
"Palmeiras","Fluminense","Palmeiras","3","0","SP"
"Cruzeiro","Corinthians","Cruzeiro","1","0","MG"
"Chapecoense","Botafogo-RJ","Botafogo-RJ","0","1","RJ"
"Flamengo","Santos","Flamengo","1","0","RJ"
"Sao Paulo","Gremio","Empate","1","1",""
"Internacional","America-MG","Internacional","2","0","RS"
"Corinthians","Vasco","Corinthians","1","0","SP"
"Vitoria","Athletico-PR","Athletico-PR","1","2","PR"
"Atletico-MG","Bahia","Atletico-MG","1","0","MG"
"Parana","Palmeiras","Empate","1","1",""
"America-MG","Santos","America-MG","2","1","MG"
"Sport","Flamengo","Flamengo","0","1","RJ"
"Botafogo-RJ","Internacional","Botafogo-RJ","1","0","RJ"
"Sao Paulo","Cruzeiro","Sao Paulo","1","0","SP"
"Gremio","Chapecoense","Gremio","2","0","RS"
"Fluminense","Ceara","Empate","0","0",""
"Internacional","Atletico-MG","Atletico-MG","1","2","MG"
"Santos","Botafogo-RJ","Empate","1","1",""
"Athletico-PR","Corinthians","Athletico-PR","1","0","PR"
"Flamengo","Gremio","Flamengo","2","0","RJ"
"Cruzeiro","Vitoria","Cruzeiro","3","0","MG"
"Palmeiras","America-MG","Palmeiras","4","0","SP"
"Vasco","Sao Paulo","Vasco","2","0","RJ"
"Chapecoense","Sport","Chapecoense","2","1","SC"
"Ceara","Parana","Ceara","1","0","CE"
"Bahia","Fluminense","Bahia","2","0","BA"
"Santos","Atletico-MG","Santos","3","2","SP"
"Cruzeiro","Flamengo","Flamengo","0","2","RJ"
"Athletico-PR","Ceara","Empate","2","2",""
"Vitoria","Gremio","Empate","0","0",""
"Vasco","Palmeiras","Palmeiras","0","1","SP"
"Internacional","Fluminense","Internacional","2","0","RS"
"America-MG","Bahia","America-MG","1","0","MG"
"Corinthians","Chapecoense","Empate","0","0",""
"Botafogo-RJ","Parana","Botafogo-RJ","2","1","RJ"
"Sao Paulo","Sport","Empate","0","0",""
"Flamengo","Athletico-PR","Athletico-PR","1","2","PR"
"Atletico-MG","Botafogo-RJ","Atletico-MG","1","0","MG"
"Bahia","Cruzeiro","Empate","0","0",""
"Parana","Internacional","Empate","1","1",""
"Palmeiras","Vitoria","Palmeiras","3","2","SP"
"Ceara","Vasco","Empate","0","0",""
"Gremio","Corinthians","Gremio","1","0","RS"
"Sport","Santos","Sport","2","1","PE"
"Fluminense","America-MG","Fluminense","1","0","RJ"
"Chapecoense","Sao Paulo","Chapecoense","1","0","SC"
"Sao Paulo","Botafogo-RJ","Sao Paulo","2","0","SP"
"Atletico-MG","Avai","Atletico-MG","2","1","MG"
"Chapecoense","Internacional","Chapecoense","2","0","SC"
"Flamengo","Cruzeiro","Flamengo","3","1","RJ"
"Gremio","Santos","Santos","1","2","SP"
"Ceara","CSA","Ceara","4","0","CE"
"Bahia","Corinthians","Bahia","3","2","BA"
"Athletico-PR","Vasco","Athletico-PR","4","1","PR"
"Palmeiras","Fortaleza","Palmeiras","4","0","SP"
"Fluminense","Goias","Goias","0","1","GO"
"CSA","Palmeiras","Empate","1","1",""
"Internacional","Flamengo","Internacional","2","1","RS"
"Corinthians","Chapecoense","Corinthians","1","0","SP"
"Cruzeiro","Ceara","Cruzeiro","1","0","MG"
"Avai","Gremio","Empate","1","1",""
"Goias","Sao Paulo","Sao Paulo","1","2","SP"
"Vasco","Atletico-MG","Atletico-MG","1","2","MG"
"Fortaleza","Athletico-PR","Fortaleza","2","1","CE"
"Santos","Fluminense","Santos","2","1","SP"
"Botafogo-RJ","Bahia","Botafogo-RJ","3","2","RJ"
"Palmeiras","Internacional","Palmeiras","1","0","SP"
"Vasco","Corinthians","Empate","1","1",""
"Ceara","Atletico-MG","Atletico-MG","1","2","MG"
"Chapecoense","Athletico-PR","Empate","1","1",""
"Botafogo-RJ","Fortaleza","Botafogo-RJ","1","0","RJ"
"CSA","Santos","Empate","0","0",""
"Cruzeiro","Goias","Cruzeiro","2","1","MG"
"Sao Paulo","Flamengo","Empate","1","1",""
"Gremio","Fluminense","Fluminense","4","5","RJ"
"Bahia","Avai","Bahia","1","0","BA"
"Fluminense","Botafogo-RJ","Botafogo-RJ","0","1","RJ"
"Corinthians","Gremio","Empate","0","0",""
"Goias","Ceara","Goias","2","1","GO"
"Atletico-MG","Palmeiras","Palmeiras","0","2","SP"
"Flamengo","Chapecoense","Flamengo","2","1","RJ"
"Internacional","Cruzeiro","Internacional","3","1","RS"
"Santos","Vasco","Santos","3","0","SP"
"Athletico-PR","Bahia","Athletico-PR","1","0","PR"
"Fortaleza","Sao Paulo","Sao Paulo","0","1","SP"
"Avai","CSA","Empate","0","0",""
"Fluminense","Cruzeiro","Fluminense","4","1","RJ"
"Atletico-MG","Flamengo","Atletico-MG","2","1","MG"
"Palmeiras","Santos","Palmeiras","4","0","SP"
"Sao Paulo","Bahia","Empate","0","0",""
"Athletico-PR","Corinthians","Corinthians","0","2","SP"
"Chapecoense","Fortaleza","Fortaleza","1","3","CE"
"Internacional","CSA","Internacional","2","0","RS"
"Goias","Botafogo-RJ","Goias","1","0","GO"
"Vasco","Avai","Empate","1","1",""
"Ceara","Gremio","Ceara","2","1","CE"
"Botafogo-RJ","Palmeiras","Palmeiras","0","1","SP"
"Gremio","Atletico-MG","Gremio","1","0","RS"
"Santos","Internacional","Empate","0","0",""
"Flamengo","Athletico-PR","Flamengo","3","2","RJ"
"Fortaleza","Vasco","Empate","1","1",""
"Cruzeiro","Chapecoense","Chapecoense","1","2","SC"
"Bahia","Fluminense","Bahia","3","2","BA"
"Corinthians","Sao Paulo","Corinthians","1","0","SP"
"Avai","Ceara","Ceara","1","2","CE"
"CSA","Goias","CSA","1","0","AL"
"Flamengo","Fortaleza","Flamengo","2","0","RJ"
"Bahia","Gremio","Bahia","1","0","BA"
"Botafogo-RJ","Vasco","Botafogo-RJ","1","0","RJ"
"Sao Paulo","Cruzeiro","Empate","1","1",""
"Ceara","Santos","Santos","0","1","SP"
"Athletico-PR","Fluminense","Athletico-PR","3","0","PR"
"Atletico-MG","CSA","Atletico-MG","4","0","MG"
"Chapecoense","Palmeiras","Palmeiras","1","2","SP"
"Internacional","Avai","Internacional","2","0","RS"
"Vasco","Internacional","Vasco","2","1","RJ"
"Palmeiras","Athletico-PR","Palmeiras","1","0","SP"
"Gremio","Fortaleza","Gremio","1","0","RS"
"Cruzeiro","Corinthians","Empate","0","0",""
"Ceara","Bahia","Empate","0","0",""
"Avai","Sao Paulo","Empate","0","0",""
"Fluminense","Flamengo","Empate","0","0",""
"Santos","Atletico-MG","Santos","3","1","SP"
"CSA","Botafogo-RJ","Botafogo-RJ","1","2","RJ"
"Goias","Chapecoense","Goias","3","1","GO"
"Botafogo-RJ","Gremio","Gremio","0","1","RS"
"Fortaleza","Cruzeiro","Fortaleza","2","1","CE"
"Internacional","Bahia","Internacional","3","1","RS"
"CSA","Flamengo","Flamengo","0","2","RJ"
"Santos","Corinthians","Santos","1","0","SP"
"Goias","Athletico-PR","Goias","2","1","GO"
"Vasco","Ceara","Vasco","1","0","RJ"
"Chapecoense","Fluminense","Empate","1","1",""
"Palmeiras","Avai","Palmeiras","2","0","SP"
"Atletico-MG","Sao Paulo","Empate","1","1",""
"Fortaleza","Avai","Fortaleza","2","0","CE"
"Gremio","Vasco","Gremio","2","1","RS"
"Bahia","Santos","Santos","0","1","SP"
"Sao Paulo","Palmeiras","Empate","1","1",""
"Flamengo","Goias","Flamengo","6","1","RJ"
"Athletico-PR","Internacional","Athletico-PR","1","0","PR"
"Cruzeiro","Botafogo-RJ","Empate","0","0",""
"Corinthians","CSA","Corinthians","1","0","SP"
"Chapecoense","Atletico-MG","Atletico-MG","1","2","MG"
"Fluminense","Ceara","Empate","1","1",""
"Vasco","Fluminense","Vasco","2","1","RJ"
"CSA","Athletico-PR","Athletico-PR","0","4","PR"
"Bahia","Cruzeiro","Empate","0","0",""
"Internacional","Gremio","Empate","1","1",""
"Ceara","Palmeiras","Ceara","2","0","CE"
"Botafogo-RJ","Santos","Santos","0","1","SP"
"Corinthians","Flamengo","Empate","1","1",""
"Atletico-MG","Fortaleza","Empate","2","2",""
"Avai","Goias","Empate","0","0",""
"Sao Paulo","Chapecoense","Sao Paulo","4","0","SP"
"Cruzeiro","Athletico-PR","Athletico-PR","0","2","PR"
"Palmeiras","Vasco","Empate","1","1",""
"Internacional","Ceara","Internacional","1","0","RS"
"Fluminense","Sao Paulo","Sao Paulo","1","2","SP"
"Chapecoense","Bahia","Empate","0","0",""
"Flamengo","Botafogo-RJ","Flamengo","3","2","RJ"
"Santos","Avai","Santos","3","1","SP"
"Fortaleza","Corinthians","Corinthians","1","3","SP"
"Goias","Atletico-MG","Empate","0","0",""
"CSA","Gremio","Empate","0","0",""
"Fluminense","Internacional","Fluminense","2","1","RJ"
"Ceara","Fortaleza","Ceara","2","1","CE"
"Santos","Goias","Santos","6","1","SP"
"Avai","Botafogo-RJ","Botafogo-RJ","0","2","RJ"
"Bahia","Flamengo","Bahia","3","0","BA"
"Corinthians","Palmeiras","Empate","1","1",""
"Vasco","CSA","Empate","0","0",""
"Atletico-MG","Cruzeiro","Atletico-MG","2","0","MG"
"Gremio","Chapecoense","Empate","3","3",""
"Corinthians","Goias","Corinthians","2","0","SP"
"Ceara","Chapecoense","Ceara","4","1","CE"
"Sao Paulo","Santos","Sao Paulo","3","2","SP"
"Flamengo","Gremio","Flamengo","3","1","RJ"
"Atletico-MG","Fluminense","Atletico-MG","2","1","MG"
"Internacional","Corinthians","Empate","0","0",""
"Palmeiras","Bahia","Empate","2","2",""
"Avai","Cruzeiro","Empate","2","2",""
"Botafogo-RJ","Athletico-PR","Botafogo-RJ","2","1","RJ"
"Goias","Vasco","Vasco","0","1","RJ"
"CSA","Fortaleza","Fortaleza","0","2","CE"
"Athletico-PR","Atletico-MG","Athletico-PR","1","0","PR"
"Corinthians","Botafogo-RJ","Corinthians","2","0","SP"
"Fortaleza","Internacional","Internacional","0","1","RS"
"Vasco","Flamengo","Flamengo","1","4","RJ"
"Gremio","Palmeiras","Empate","1","1",""
"Fluminense","CSA","CSA","0","1","AL"
"Cruzeiro","Santos","Cruzeiro","2","0","MG"
"Bahia","Goias","Empate","1","1",""
"Sao Paulo","Ceara","Sao Paulo","1","0","SP"
"Chapecoense","Avai","Chapecoense","1","0","SC"
"Athletico-PR","Sao Paulo","Sao Paulo","0","1","SP"
"Atletico-MG","Bahia","Bahia","0","1","BA"
"Gremio","Athletico-PR","Gremio","2","1","RS"
"Goias","Internacional","Goias","2","1","GO"
"Vasco","Sao Paulo","Vasco","2","0","RJ"
"Santos","Fortaleza","Empate","3","3",""
"CSA","Cruzeiro","Empate","1","1",""
"Ceara","Flamengo","Flamengo","0","3","RJ"
"Avai","Corinthians","Empate","1","1",""
"Botafogo-RJ","Chapecoense","Empate","0","0",""
"Sao Paulo","Gremio","Empate","0","0",""
"Bahia","CSA","Bahia","1","0","BA"
"Athletico-PR","Ceara","Athletico-PR","1","0","PR"
"Chapecoense","Santos","Santos","0","1","SP"
"Internacional","Botafogo-RJ","Internacional","3","2","RS"
"Flamengo","Palmeiras","Flamengo","3","0","RJ"
"Fortaleza","Goias","Fortaleza","2","0","CE"
"Cruzeiro","Vasco","Cruzeiro","1","0","MG"
"Corinthians","Atletico-MG","Corinthians","1","0","SP"
"Fluminense","Avai","Avai","0","1","SC"
"Corinthians","Ceara","Empate","2","2",""
"Vasco","Bahia","Bahia","0","2","BA"
"Avai","Flamengo","Flamengo","0","3","RJ"
"Fortaleza","Fluminense","Fluminense","0","1","RJ"
"Internacional","Sao Paulo","Internacional","1","0","RS"
"Goias","Palmeiras","Palmeiras","1","2","SP"
"Cruzeiro","Gremio","Gremio","1","4","RS"
"Santos","Athletico-PR","Empate","1","1",""
"Botafogo-RJ","Atletico-MG","Botafogo-RJ","2","1","RJ"
"CSA","Chapecoense","CSA","2","0","AL"
"Palmeiras","Fluminense","Palmeiras","3","0","SP"
"Flamengo","Santos","Flamengo","1","0","RJ"
"Chapecoense","Vasco","Vasco","1","2","RJ"
"Palmeiras","Cruzeiro","Palmeiras","1","0","SP"
"Ceara","Botafogo-RJ","Empate","0","0",""
"Atletico-MG","Internacional","Internacional","1","3","RS"
"Athletico-PR","Avai","Avai","0","1","SC"
"Gremio","Goias","Gremio","3","0","RS"
"Fluminense","Corinthians","Fluminense","1","0","RJ"
"Bahia","Fortaleza","Empate","1","1",""
"Sao Paulo","CSA","Empate","1","1",""
"Botafogo-RJ","Sao Paulo","Sao Paulo","1","2","SP"
"Cruzeiro","Flamengo","Flamengo","1","2","RJ"
"Corinthians","Bahia","Corinthians","2","1","SP"
"Santos","Gremio","Gremio","0","3","RS"
"Internacional","Chapecoense","Internacional","1","0","RS"
"Vasco","Athletico-PR","Empate","1","1",""
"Fortaleza","Palmeiras","Palmeiras","0","1","SP"
"CSA","Ceara","CSA","1","0","AL"
"Goias","Fluminense","Goias","3","0","GO"
"Avai","Atletico-MG","Avai","1","0","SC"
"Ceara","Cruzeiro","Empate","0","0",""
"Bahia","Botafogo-RJ","Bahia","2","0","BA"
"Flamengo","Internacional","Flamengo","3","1","RJ"
"Sao Paulo","Goias","Goias","0","1","GO"
"Palmeiras","CSA","Palmeiras","6","2","SP"
"Fluminense","Santos","Empate","1","1",""
"Gremio","Avai","Gremio","6","1","RS"
"Athletico-PR","Fortaleza","Athletico-PR","4","1","PR"
"Flamengo","Sao Paulo","Empate","0","0",""
"Corinthians","Vasco","Corinthians","1","0","SP"
"Athletico-PR","Chapecoense","Empate","1","1",""
"Santos","CSA","Santos","2","0","SP"
"Internacional","Palmeiras","Empate","1","1",""
"Fluminense","Gremio","Fluminense","2","1","RJ"
"Atletico-MG","Ceara","Atletico-MG","2","1","MG"
"Avai","Bahia","Bahia","0","2","BA"
"Fortaleza","Botafogo-RJ","Fortaleza","1","0","CE"
"Goias","Cruzeiro","Goias","1","0","GO"
"Atletico-MG","Vasco","Vasco","1","2","RJ"
"Chapecoense","Corinthians","Corinthians","0","1","SP"
"Vasco","Santos","Santos","0","1","SP"
"Sao Paulo","Fortaleza","Sao Paulo","2","1","SP"
"Gremio","Corinthians","Empate","0","0",""
"Bahia","Athletico-PR","Athletico-PR","1","2","PR"
"Cruzeiro","Internacional","Empate","1","1",""
"Chapecoense","Flamengo","Flamengo","0","1","RJ"
"Palmeiras","Atletico-MG","Empate","1","1",""
"Botafogo-RJ","Fluminense","Fluminense","0","1","RJ"
"Ceara","Goias","Goias","0","1","GO"
"CSA","Avai","CSA","3","1","AL"
"Botafogo-RJ","Goias","Botafogo-RJ","3","1","RJ"
"CSA","Internacional","CSA","1","0","AL"
"Fortaleza","Chapecoense","Fortaleza","2","0","CE"
"Gremio","Ceara","Gremio","2","1","RS"
"Bahia","Sao Paulo","Empate","0","0",""
"Cruzeiro","Fluminense","Empate","0","0",""
"Santos","Palmeiras","Santos","2","0","SP"
"Corinthians","Athletico-PR","Empate","2","2",""
"Avai","Vasco","Empate","0","0",""
"Flamengo","Atletico-MG","Flamengo","3","1","RJ"
"Goias","CSA","Goias","1","0","GO"
"Fluminense","Bahia","Fluminense","2","0","RJ"
"Palmeiras","Botafogo-RJ","Palmeiras","1","0","SP"
"Athletico-PR","Flamengo","Flamengo","0","2","RJ"
"Internacional","Santos","Empate","0","0",""
